Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100.0,50.0,0.0,4s,6s,Start_Year,End_Year,Country
SM Gavaskar ,125,214,16,10122,236,51.12,14184,43.35,34.0,45.0,12.0,908,26,1971,1987,IND
SR Waugh ,168,260,46,10927,200,51.06,22461,48.64,32.0,50.0,22.0,1175,20,1985,2004,AUS
ML Hayden ,103,184,14,8625,380,50.73,14349,60.1,30.0,29.0,14.0,1049,82,1994,2009,AUS
AB de Villiers ,114,191,18,8765,278,50.66,16077,54.51,22.0,46.0,8.0,1024,64,2004,2018,SA
AR Border ,156,265,44,11174,205,50.56,27002,41.09,27.0,63.0,11.0,1161,28,1978,1994,AUS
DJ Mitchell ,23,37,5,1608,190,50.25,3014,53.35,5.0,10.0,1.0,158,29,2019,2024,NZ
IVA Richards ,121,182,12,8540,291,50.23,9613,69.77,24.0,45.0,10.0,952,84,1974,1991,WI
DCS Compton ,78,131,15,5807,278,50.06,2731,38.81,17.0,28.0,10.0,342,3,1937,1957,ENG
DPMD Jayawardene ,149,252,15,11814,374,49.84,22959,51.45,34.0,50.0,15.0,1387,61,1997,2014,SL
JE Root ,140,257,21,11736,254,49.72,20762,56.52,31.0,61.0,12.0,1280,44,2012,2024,ENG
Inzamam-ul-Haq ,120,200,22,8830,329,49.6,16345,54.02,25.0,46.0,15.0,1105,48,1992,2007,Pak
M Labuschagne ,50,90,7,4114,215,49.56,7809,52.68,11.0,20.0,4.0,463,12,2018,2024,AUS
FMM Worrell ,51,87,9,3860,261,49.48,488,40.16,9.0,22.0,11.0,240,11,1948,1963,WI
CP Mead ,17,26,2,1185,182,49.37,619,30.04,4.0,3.0,3.0,38,0,1911,1928,ENG
V Sehwag ,104,180,6,8586,319,49.34,10441,82.23,23.0,32.0,16.0,1233,91,2001,2013,ICC/IND
Abid Ali ,16,26,2,1180,215,49.16,2445,48.26,4.0,3.0,2.0,148,5,2019,2021,PAK
V Kohli ,113,191,11,8848,254,49.15,15924,55.56,29.0,30.0,14.0,991,26,2011,2024,IND
MJ Clarke ,115,198,22,8643,329,49.1,15456,55.92,28.0,27.0,9.0,978,39,2004,2015,AUS
KC Bland ,21,39,5,1669,144,49.08,885,37.74,3.0,9.0,2.0,123,20,1961,1966,SA
B Mitchell ,42,80,9,3471,189,48.88,158,29.11,8.0,21.0,3.0,41,1,1929,1949,SA
TT Samaraweera ,81,132,20,5462,231,48.76,11641,46.92,14.0,30.0,11.0,633,7,2001,2013,SL
RN Harvey ,79,137,10,6149,205,48.41,1799,43.74,21.0,24.0,7.0,427,1,1948,1963,AUS
KD Walters ,74,125,14,5357,250,48.26,8662,49.16,15.0,33.0,4.0,525,23,1965,1981,AUS
GC Smith ,117,205,13,9265,277,48.25,15525,59.67,27.0,38.0,11.0,1165,24,2002,2014,ICC/SA
WH Ponsford ,29,48,4,2122,266,48.22,3118,44.77,7.0,6.0,1.0,119,0,1924,1934,AUS
SJ McCabe ,39,62,5,2748,232,48.21,3217,60.02,6.0,13.0,4.0,241,5,1930,1938,AUS
DR Jardine ,22,33,6,1296,127,48.0,2110,25.59,1.0,10.0,2.0,53,0,1928,1934,ENG
